Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.90,,,2021-03-31 11:29:30,2021-03-31 11:35:42,6m - 11.802s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.90,,,2021-03-31 11:29:31,2021-03-31 11:30:35,1m - 3.893s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:29:31,2021-03-31 11:29:31,0.009s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 11:29:31,2021-03-31 11:29:35,3.208s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 11:29:35,2021-03-31 11:29:35,0.125s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-31 11:29:35,2021-03-31 11:29:37,2.040s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:29:37,2021-03-31 11:29:38,1.347s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:29:38,2021-03-31 11:29:39,0.988s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-31 11:29:39,2021-03-31 11:29:43,3.873s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.90,,,2021-03-31 11:29:43,2021-03-31 11:29:43,0.249s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-31 11:29:43,2021-03-31 11:29:43,0.285s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-31 11:29:43,2021-03-31 11:29:44,0.973s,PASSED
"commonActions.VideoPlayer.nextVideoByClicking(findTestObject(""VideoDetailPageUI/video_frame""))",Chrome 89.0.4389.90,,,2021-03-31 11:29:44,2021-03-31 11:30:34,49.877s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 11:30:34,2021-03-31 11:30:35,0.715s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:30:35,2021-03-31 11:30:35,0.002s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyVideoCanPlay,Chrome 89.0.4389.90,,,2021-03-31 11:30:35,2021-03-31 11:31:40,1m - 4.962s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:30:35,2021-03-31 11:30:35,0.001s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 11:30:35,2021-03-31 11:30:38,2.636s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 11:30:38,2021-03-31 11:30:38,0.115s,PASSED
